Date of Exam/Incident,Exam Name,Conducting Body,Conducting Body Type,Area(s) of Incident,Leak Confirmation Status,Action taken,Note about action Taken,Note about incident,References,Appeared Students,Record Source,year,Category,Outcome
23-06-2014,UP CPMT 2014,"King George's Medical University , Ghaziabadd",State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,"CPMT 2014 paper leak: Aspirants dejected, demand compensation | Lucknow News - Times of India (indiatimes.com)",,Kaggle original dataset,2014,Medical,"Cancelled/Postponed, no re-exam recorded"
30-03-2015,Provincial civil services preliminary examination,Uttar Pradesh Public Service Comission,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media before exam,Uttar Pradesh civil services exam cancelled after paper leaked on Whatsapp (livemint.com),,Kaggle original dataset,2015,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
03-05-2015,AIPMT 2015,CBSE,Central,All India,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,"AIPMT cancelled, CBSE told to reconduct exam - India Today",,Kaggle original dataset,2015,Medical,"Cancelled/Postponed, no re-exam recorded"
25-05-2015,UP CPMT 2015,"King George's Medical University , Lucknow",State,Uttar Pradesh,confirmed,Legal action taken,No Rexam,Paper leaked on social media,Bid to leak UP CPMT answers: 3 MBBS students arrested | Lucknow News - The Indian Express,,Kaggle original dataset,2015,Medical,No judgement — dismissed or no action
01-05-2016,NEET Phase 1 2016,CBSE,Central,Uttar Pradesh,confirmed,Legal action taken,No Rexam,Cheating reported,NEET Phase 1 2016: Paper leaked in Varanasi - India Today,,Kaggle original dataset,2016,Medical,No judgement — dismissed or no action
27-12-2016,Review Officer/Assistant Review Officer - 2016,Uttar Pradesh Public Service Comission,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,"UPPSC RO/ARO 2016 Exam Cancelled @uppsc.up.nic.in, Check Here the Tentative Exam Dates (jagranjosh.com)",,Kaggle original dataset,2016,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
10-02-2017,HCS (Judicial) Paper -2017 ,Haryana Public Service Commission,State,Haryana,confirmed,Legal action taken and claim dismissed,No Rexam,Paper Leak,"2017 Haryana Judges Paper Leak Case: Prosecution Concludes Arguments, Seeks No Mercy for Accused in ‘Ghastly Act’ - News18",,Kaggle original dataset,2017,Civil Services & Govt Jobs,No judgement — dismissed or no action
06-03-2017,Class 12th Marathi,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,confirmed,Legal action taken,No Rexam,Paper leaked on social media,Maharashtra: Two college students arrested in HSC paper leak | Mumbai news - Hindustan Times,,Kaggle original dataset,2017,School Board,No judgement — dismissed or no action
14-03-2017,Class 12th CS and Physics,Himachal Pradesh Board of School Education,State,Himachal Pradesh,confirmed,Exam Cancelled on many centers,Exam cancelled on 1846 centers Legal action taken against involved people,Paper stolen,Himachal Pradesh Class 12 Board Exam Paper Leak - Careerindia,,Kaggle original dataset,2017,Medical,"Cancelled/Postponed, no re-exam recorded"
21-02-2018,"CGL 2nd Tier, 2017",Staff Selection Comission,Central,All India,accused,Exam Cancelled,Legal action,Answer Key leaked before exam,SSC CGL paper leak case: Sify staffers among 17 booked by CBI | Education News - The Indian Express,,Kaggle original dataset,2018,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
19-03-2018,History and political science,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,confirmed,Legal action taken,No Rexam,One coaching leaked question paper before exam on their whatsapp group,SSC paper leak: 15 students found with History exam paper on WhatsApp at Kalyan school | Mumbai news - Hindustan Times,,Kaggle original dataset,2018,School Board,No judgement — dismissed or no action
27-03-2018,10th Math and 12th Economics,CBSE,Central,Delhi,confirmed,Exam Cancelled,Legal action,Students got handwritten question paper and many other irregularities reported,CBSE Board Paper Leak 2018 Highlights: Students In Delhi Protest Against Decision To Hold Re-Examination (ndtv.com),,Kaggle original dataset,2018,School Board,"Cancelled/Postponed, no re-exam recorded"
